time_s,body_x_position_m,body_pitch_deg,body_height_m,slip_count
0.05001497268676758,-1.8012000704199873,-0.04128463820240154,0.4285340142567303,0
0.10853719711303711,-1.7931746504353063,-0.06313874490946414,0.4283018283037902,0
0.1590101718902588,-1.77934254262086,-0.2145950163325462,0.4289176565940667,0
0.2127540111541748,-1.7747942724668124,-0.3130681639629343,0.42885372659331267,0
0.26554226875305176,-1.7605355456106155,-0.2570099085377021,0.4296696659651298,0
0.3155860900878906,-1.7474660856952204,-0.1646865636789177,0.4293152779949306,0
0.36562108993530273,-1.7289835188300449,0.013834181787337144,0.4283085159432471,0
0.4156489372253418,-1.7119697215094785,0.04904574085908347,0.42815472999556875,0
0.46567201614379883,-1.6940060653078968,0.07779436828223937,0.4280870432644012,0
0.5157170295715332,-1.6759931881187078,0.09459426191278028,0.4280513641607582,0
0.5657241344451904,-1.6578318184087815,0.11146906363704938,0.42802141703878616,0
0.6157341003417969,-1.6389542474478755,0.14083117422391792,0.4280125733287312,0
0.6657719612121582,-1.6206045315411957,0.15653243312968568,0.42802520820603046,0
0.7158069610595703,-1.6019550319499862,0.18364855232274235,0.42801569672990214,0
0.7658522129058838,-1.5838651731767839,0.20919503857205377,0.4280215094575052,0
0.8158700466156006,-1.5649712669170113,0.23776925541561564,0.42799400968795775,0
0.8659241199493408,-1.5461024574608015,0.26284667456231997,0.4279723936480178,0
0.915938138961792,-1.5271481930747144,0.29066469523393246,0.4279420497961461,0
0.9659440517425537,-1.5081765094081252,0.3161772294856188,0.42790477383080255,0
1.0159811973571777,-1.4892628653628124,0.3434174819295204,0.42786457786026894,0
1.0659818649291992,-1.470511782596834,0.36892066845981913,0.42781241265350417,0
1.1159870624542236,-1.4518764202119876,0.3950692581114269,0.4277561499336032,0
1.1660270690917969,-1.4330835588694462,0.4266737457961715,0.42768299459553516,0
1.2160570621490479,-1.4140560992597186,0.4584724183808813,0.4275990850847461,0
1.2660601139068604,-1.395467343275058,0.4820711338997437,0.427515315599216,0
1.316068172454834,-1.3767340093296527,0.5113425188965449,0.42741645480432067,0
1.3661119937896729,-1.3580217910144758,0.5400500347011707,0.4273072475595377,0
1.4161138534545898,-1.3387746597619197,0.5756050729998479,0.4271819057836247,0
1.4661459922790527,-1.3193244076722275,0.009497156927469164,0.427789370500784,0
1.5161480903625488,-1.302014147552726,-0.014397558478490592,0.4281746215522132,0
1.5661871433258057,-1.2845705542646582,-0.009619160167351697,0.4281900977987078,0
1.6161878108978271,-1.2672748479104905,-0.0026276358556178727,0.4281744712696727,0
1.6662321090698242,-1.2499356214986959,0.008904636696350585,0.4281540892802574,0
1.7162601947784424,-1.2324430194188338,0.024168617088156354,0.42813952447274406,0
1.7662630081176758,-1.2149456166905521,0.03731550497858132,0.4281285164005674,0
1.8163011074066162,-1.1973841101765959,0.05439281509574348,0.4281148493612935,0
1.8663790225982666,-1.1796957385722717,0.06824645480511918,0.4280942085819607,0
1.916398048400879,-1.161585869248873,0.08532400325659974,0.42806146911132126,0
1.9664251804351807,-1.1436803304709613,0.0982557790395464,0.4280375566287004,0
2.0164690017700195,-1.12546374832947,0.12041136207599527,0.4280204396626257,0
2.0665090084075928,-1.1069412132383947,0.14719152510448685,0.42801671405840463,0
2.116549253463745,-1.0886399184891837,0.16713436604344373,0.42802504650610546,0
2.1665940284729004,-1.0700702311780308,0.19402534898305732,0.42801537712912857,0
2.216635227203369,-1.051787542481444,0.2170151870741679,0.42801081530579965,0
2.2666821479797363,-1.033579310209312,0.24131554827558166,0.42799822387645003,0
2.316715955734253,-1.0152211956304509,0.2681463949856221,0.42797403159849945,0
2.366746187210083,-0.9970302013193669,0.2933717074312973,0.4279458880345217,0
2.416792154312134,-0.9786422663172841,0.324284926463852,0.4279050262686445,0
2.4668350219726562,-0.9600387062184748,0.3559817564331215,0.4278506905317362,0
2.5168352127075195,-0.9412649252723574,0.38389999370419925,0.4277882448686181,0
2.566880941390991,-0.9226644191390813,0.41088324775111396,0.42772676167044826,0
2.61688494682312,-0.9038306734486904,0.44085885993988355,0.4276474532224727,0
